OpenJDK 64-Bit Server VM (25.362-b08) for windows-amd64 JRE (1.8.0_362-b08), built on Jan 13 2023 13:30:12 by "Administrator" with MS VC++ 12.0 (VS2013)
4.200: [GC (Allocation Failure) [PSYoungGen: 10131K->1888K(14336K)] 44463K->36260K(58368K), 0.0005147 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.201: [GC (Allocation Failure) [PSYoungGen: 9043K->832K(14336K)] 43415K->35220K(58368K), 0.0004687 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.202: [GC (Allocation Failure) [PSYoungGen: 7986K->7139K(14336K)] 42374K->42311K(58368K), 0.0010309 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.247: [GC (Allocation Failure) [PSYoungGen: 14293K->6915K(14336K)] 49466K->42087K(58368K), 0.0009026 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.294: [GC (Allocation Failure) [PSYoungGen: 14069K->5858K(14336K)] 49242K->41047K(58368K), 0.0010463 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.296: [GC (Allocation Failure) [PSYoungGen: 13013K->4802K(14336K)] 48201K->40006K(58368K), 0.0008835 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.340: [GC (Allocation Failure) [PSYoungGen: 11956K->3745K(14336K)] 47161K->38966K(58368K), 0.0009899 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.386: [GC (Allocation Failure) [PSYoungGen: 10893K->1600K(14336K)] 46113K->36837K(58368K), 0.0005444 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.388: [GC (Allocation Failure) [PSYoungGen: 8754K->544K(14336K)] 43991K->35796K(58368K), 0.0002837 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.389: [GC (Allocation Failure) [PSYoungGen: 7698K->7139K(14336K)] 42950K->42887K(58368K), 0.0008454 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.449: [GC (Allocation Failure) [PSYoungGen: 14293K->6627K(14336K)] 50042K->42375K(58368K), 0.0011087 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
